"case","event","startTime","completeTime","creator","variant","variant-index","org:resource","role","Activity"
"Case406","Take in charge ticket","2010/01/14 10:42:31.000","2010/01/14 10:42:31.000","Fluxicon Disco","Variant 4","4","Value 2","Value 2","Take in charge ticket"
"Case406","Resolve ticket","2010/01/14 10:42:37.000","2010/01/14 10:42:37.000","Fluxicon Disco","Variant 4","4","Value 2","Value 2","Resolve ticket"
"Case406","Closed","2010/02/13 16:01:54.000","2010/02/13 16:01:54.000","Fluxicon Disco","Variant 4","4","Value 5","Value 5","Closed"
"Case407","Assign seriousness","2013/10/17 08:36:46.000","2013/10/17 08:36:46.000","Fluxicon Disco","Variant 2","2","Value 14","Value 14","Assign seriousness"
"Case407","Take in charge ticket","2013/10/21 06:24:04.000","2013/10/21 06:24:04.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Take in charge ticket"
"Case407","Wait","2013/10/28 12:33:38.000","2013/10/28 12:33:38.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Wait"
"Case407","Resolve ticket","2013/11/05 15:13:13.000","2013/11/05 15:13:13.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Resolve ticket"
"Case407","Closed","2013/11/20 15:13:25.000","2013/11/20 15:13:25.000","Fluxicon Disco","Variant 2","2","Value 3","Value 3","Closed"
"Case408","Assign seriousness","2013/01/24 12:49:47.000","2013/01/24 12:49:47.000","Fluxicon Disco","Variant 17","17","Value 1","Value 1","Assign seriousness"
"Case408","Assign seriousness","2013/01/28 13:10:24.000","2013/01/28 13:10:24.000","Fluxicon Disco","Variant 17","17","Value 12","Value 12","Assign seriousness"
"Case408","Take in charge ticket","2013/01/30 10:19:15.000","2013/01/30 10:19:15.000","Fluxicon Disco","Variant 17","17","Value 16","Value 16","Take in charge ticket"
"Case408","Wait","2013/01/30 10:27:48.000","2013/01/30 10:27:48.000","Fluxicon Disco","Variant 17","17","Value 16","Value 16","Wait"
"Case408","Resolve ticket","2013/02/25 14:46:08.000","2013/02/25 14:46:08.000","Fluxicon Disco","Variant 17","17","Value 16","Value 16","Resolve ticket"
"Case408","Closed","2013/03/12 14:46:27.000","2013/03/12 14:46:27.000","Fluxicon Disco","Variant 17","17","Value 3","Value 3","Closed"
"Case409","Assign seriousness","2011/08/29 13:04:10.000","2011/08/29 13:04:10.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Assign seriousness"
"Case409","Take in charge ticket","2011/08/30 07:33:47.000","2011/08/30 07:33:47.000","Fluxicon Disco","Variant 1","1","Value 16","Value 16","Take in charge ticket"
"Case409","Resolve ticket","2011/08/30 07:59:38.000","2011/08/30 07:59:38.000","Fluxicon Disco","Variant 1","1","Value 16","Value 16","Resolve ticket"
"Case409","Closed","2011/10/27 13:12:09.000","2011/10/27 13:12:09.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case410","Assign seriousness","2010/11/15 15:40:29.000","2010/11/15 15:40:29.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Assign seriousness"
"Case410","Take in charge ticket","2010/11/23 13:07:33.000","2010/11/23 13:07:33.000","Fluxicon Disco","Variant 1","1","Value 7","Value 7","Take in charge ticket"
"Case410","Resolve ticket","2010/11/23 13:08:12.000","2010/11/23 13:08:12.000","Fluxicon Disco","Variant 1","1","Value 7","Value 7","Resolve ticket"
"Case410","Closed","2010/12/29 15:50:33.000","2010/12/29 15:50:33.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case411","Assign seriousness","2010/11/26 16:02:49.000","2010/11/26 16:02:49.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Assign seriousness"
"Case411","Take in charge ticket","2010/12/07 13:00:09.000","2010/12/07 13:00:09.000","Fluxicon Disco","Variant 1","1","Value 14","Value 14","Take in charge ticket"
"Case411","Resolve ticket","2010/12/10 12:25:46.000","2010/12/10 12:25:46.000","Fluxicon Disco","Variant 1","1","Value 14","Value 14","Resolve ticket"
"Case411","Closed","2011/01/12 16:01:50.000","2011/01/12 16:01:50.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case412","Assign seriousness","2013/02/11 10:54:12.000","2013/02/11 10:54:12.000","Fluxicon Disco","Variant 2","2","Value 4","Value 4","Assign seriousness"
"Case412","Take in charge ticket","2013/02/27 08:15:28.000","2013/02/27 08:15:28.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Take in charge ticket"
"Case412","Wait","2013/02/27 08:25:01.000","2013/02/27 08:25:01.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Wait"
"Case412","Resolve ticket","2013/02/28 12:53:05.000","2013/02/28 12:53:05.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Resolve ticket"
"Case412","Closed","2013/03/15 12:53:22.000","2013/03/15 12:53:22.000","Fluxicon Disco","Variant 2","2","Value 3","Value 3","Closed"
"Case413","Insert ticket","2011/09/21 08:45:40.000","2011/09/21 08:45:40.000","Fluxicon Disco","Variant 102","102","Value 1","Value 1","Insert ticket"
"Case413","Assign seriousness","2011/09/23 08:20:13.000","2011/09/23 08:20:13.000","Fluxicon Disco","Variant 102","102","Value 1","Value 1","Assign seriousness"
"Case413","Take in charge ticket","2011/09/23 08:20:34.000","2011/09/23 08:20:34.000","Fluxicon Disco","Variant 102","102","Value 1","Value 1","Take in charge ticket"
"Case413","Resolve ticket","2011/10/13 15:02:38.000","2011/10/13 15:02:38.000","Fluxicon Disco","Variant 102","102","Value 1","Value 1","Resolve ticket"
"Case413","Resolve ticket","2011/10/13 15:02:41.000","2011/10/13 15:02:41.000","Fluxicon Disco","Variant 102","102","Value 1","Value 1","Resolve ticket"
"Case413","Closed","2011/10/28 15:02:48.000","2011/10/28 15:02:48.000","Fluxicon Disco","Variant 102","102","Value 5","Value 5","Closed"
"Case414","Assign seriousness","2013/02/01 10:36:02.000","2013/02/01 10:36:02.000","Fluxicon Disco","Variant 4","4","Value 1","Value 1","Assign seriousness"
"Case414","Assign seriousness","2013/02/07 07:25:41.000","2013/02/07 07:25:41.000","Fluxicon Disco","Variant 4","4","Value 2","Value 2","Assign seriousness"
"Case414","Take in charge ticket","2013/02/07 07:25:58.000","2013/02/07 07:25:58.000","Fluxicon Disco","Variant 4","4","Value 2","Value 2","Take in charge ticket"
"Case414","Resolve ticket","2013/02/18 09:50:51.000","2013/02/18 09:50:51.000","Fluxicon Disco","Variant 4","4","Value 1","Value 1","Resolve ticket"
"Case414","Closed","2013/03/05 09:51:09.000","2013/03/05 09:51:09.000","Fluxicon Disco","Variant 4","4","Value 3","Value 3","Closed"
"Case415","Assign seriousness","2012/03/20 10:05:10.000","2012/03/20 10:05:10.000","Fluxicon Disco","Variant 6","6","Value 13","Value 13","Assign seriousness"
"Case415","Take in charge ticket","2012/03/20 10:05:18.000","2012/03/20 10:05:18.000","Fluxicon Disco","Variant 6","6","Value 13","Value 13","Take in charge ticket"
"Case415","Resolve ticket","2012/03/21 14:23:54.000","2012/03/21 14:23:54.000","Fluxicon Disco","Variant 6","6","Value 1","Value 1","Resolve ticket"
"Case415","Resolve ticket","2012/03/21 14:23:55.000","2012/03/21 14:23:55.000","Fluxicon Disco","Variant 6","6","Value 1","Value 1","Resolve ticket"
"Case415","Closed","2012/05/05 09:11:49.000","2012/05/05 09:11:49.000","Fluxicon Disco","Variant 6","6","Value 5","Value 5","Closed"
"Case416","Assign seriousness","2010/07/09 06:52:27.000","2010/07/09 06:52:27.000","Fluxicon Disco","Variant 1","1","Value 19","Value 19","Assign seriousness"
"Case416","Take in charge ticket","2010/08/06 14:25:41.000","2010/08/06 14:25:41.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Take in charge ticket"
"Case416","Resolve ticket","2010/08/06 14:26:20.000","2010/08/06 14:26:20.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Resolve ticket"
"Case416","Closed","2010/08/21 14:26:40.000","2010/08/21 14:26:40.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case417","Assign seriousness","2012/04/03 15:21:42.000","2012/04/03 15:21:42.000","Fluxicon Disco","Variant 2","2","Value 13","Value 13","Assign seriousness"
"Case417","Take in charge ticket","2012/04/04 13:04:39.000","2012/04/04 13:04:39.000","Fluxicon Disco","Variant 2","2","Value 4","Value 4","Take in charge ticket"
"Case417","Wait","2012/04/06 06:21:38.000","2012/04/06 06:21:38.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Wait"
"Case417","Resolve ticket","2012/04/16 11:36:10.000","2012/04/16 11:36:10.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Resolve ticket"
"Case417","Closed","2012/05/05 11:20:25.000","2012/05/05 11:20:25.000","Fluxicon Disco","Variant 2","2","Value 5","Value 5","Closed"
"Case418","Assign seriousness","2012/05/04 14:26:19.000","2012/05/04 14:26:19.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case418","Take in charge ticket","2012/05/07 05:59:13.000","2012/05/07 05:59:13.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Take in charge ticket"
"Case418","Resolve ticket","2012/05/07 09:24:38.000","2012/05/07 09:24:38.000","Fluxicon Disco","Variant 1","1","Value 16","Value 16","Resolve ticket"
"Case418","Closed","2012/06/17 14:30:40.000","2012/06/17 14:30:40.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case419","Assign seriousness","2010/07/02 09:37:18.000","2010/07/02 09:37:18.000","Fluxicon Disco","Variant 3","3","Value 9","Value 9","Assign seriousness"
"Case419","Take in charge ticket","2010/07/02 12:38:42.000","2010/07/02 12:38:42.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Take in charge ticket"
"Case419","Wait","2010/07/02 12:39:52.000","2010/07/02 12:39:52.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Wait"
"Case419","Take in charge ticket","2010/07/13 14:01:23.000","2010/07/13 14:01:23.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Take in charge ticket"
"Case419","Resolve ticket","2010/07/13 14:01:37.000","2010/07/13 14:01:37.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Resolve ticket"
"Case419","Closed","2010/08/04 09:40:46.000","2010/08/04 09:40:46.000","Fluxicon Disco","Variant 3","3","Value 5","Value 5","Closed"
"Case420","Assign seriousness","2010/09/15 14:44:34.000","2010/09/15 14:44:34.000","Fluxicon Disco","Variant 1","1","Value 7","Value 7","Assign seriousness"
"Case420","Take in charge ticket","2010/09/15 14:51:01.000","2010/09/15 14:51:01.000","Fluxicon Disco","Variant 1","1","Value 7","Value 7","Take in charge ticket"
"Case420","Resolve ticket","2010/09/15 14:51:07.000","2010/09/15 14:51:07.000","Fluxicon Disco","Variant 1","1","Value 7","Value 7","Resolve ticket"
"Case420","Closed","2010/11/07 15:50:58.000","2010/11/07 15:50:58.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case421","Assign seriousness","2013/06/06 14:15:21.000","2013/06/06 14:15:21.000","Fluxicon Disco","Variant 1","1","Value 14","Value 14","Assign seriousness"
"Case421","Take in charge ticket","2013/06/06 14:15:41.000","2013/06/06 14:15:41.000","Fluxicon Disco","Variant 1","1","Value 14","Value 14","Take in charge ticket"
"Case421","Resolve ticket","2013/06/25 14:18:12.000","2013/06/25 14:18:12.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case421","Closed","2013/07/10 14:18:25.000","2013/07/10 14:18:25.000","Fluxicon Disco","Variant 1","1","Value 3","Value 3","Closed"
"Case422","Assign seriousness","2011/01/05 14:49:02.000","2011/01/05 14:49:02.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case422","Take in charge ticket","2011/01/10 07:15:19.000","2011/01/10 07:15:19.000","Fluxicon Disco","Variant 1","1","Value 12","Value 12","Take in charge ticket"
"Case422","Resolve ticket","2011/01/10 07:16:46.000","2011/01/10 07:16:46.000","Fluxicon Disco","Variant 1","1","Value 12","Value 12","Resolve ticket"
"Case422","Closed","2011/02/18 14:50:27.000","2011/02/18 14:50:27.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case423","Insert ticket","2010/09/15 13:38:51.000","2010/09/15 13:38:51.000","Fluxicon Disco","Variant 7","7","Value 7","Value 7","Insert ticket"
"Case423","Assign seriousness","2010/09/16 06:14:36.000","2010/09/16 06:14:36.000","Fluxicon Disco","Variant 7","7","Value 2","Value 2","Assign seriousness"
"Case423","Take in charge ticket","2010/09/16 08:03:40.000","2010/09/16 08:03:40.000","Fluxicon Disco","Variant 7","7","Value 6","Value 6","Take in charge ticket"
"Case423","Resolve ticket","2010/09/27 14:22:43.000","2010/09/27 14:22:43.000","Fluxicon Disco","Variant 7","7","Value 6","Value 6","Resolve ticket"
"Case423","Closed","2010/10/29 13:40:28.000","2010/10/29 13:40:28.000","Fluxicon Disco","Variant 7","7","Value 5","Value 5","Closed"
"Case424","Assign seriousness","2012/06/15 14:30:23.000","2012/06/15 14:30:23.000","Fluxicon Disco","Variant 6","6","Value 1","Value 1","Assign seriousness"
"Case424","Take in charge ticket","2012/06/15 14:30:32.000","2012/06/15 14:30:32.000","Fluxicon Disco","Variant 6","6","Value 1","Value 1","Take in charge ticket"
"Case424","Resolve ticket","2012/06/18 09:10:31.000","2012/06/18 09:10:31.000","Fluxicon Disco","Variant 6","6","Value 1","Value 1","Resolve ticket"
"Case424","Resolve ticket","2012/06/18 09:10:31.000","2012/06/18 09:10:31.000","Fluxicon Disco","Variant 6","6","Value 1","Value 1","Resolve ticket"
"Case424","Closed","2012/07/18 14:40:25.000","2012/07/18 14:40:25.000","Fluxicon Disco","Variant 6","6","Value 5","Value 5","Closed"
"Case425","Assign seriousness","2012/04/16 07:26:13.000","2012/04/16 07:26:13.000","Fluxicon Disco","Variant 2","2","Value 13","Value 13","Assign seriousness"
"Case425","Take in charge ticket","2012/04/16 13:05:04.000","2012/04/16 13:05:04.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Take in charge ticket"
"Case425","Wait","2012/04/17 06:40:48.000","2012/04/17 06:40:48.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Wait"
"Case425","Resolve ticket","2012/05/16 09:59:40.000","2012/05/16 09:59:40.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Resolve ticket"
"Case425","Closed","2012/05/31 09:59:57.000","2012/05/31 09:59:57.000","Fluxicon Disco","Variant 2","2","Value 5","Value 5","Closed"
"Case426","Assign seriousness","2011/03/15 12:18:19.000","2011/03/15 12:18:19.000","Fluxicon Disco","Variant 16","16","Value 8","Value 8","Assign seriousness"
"Case426","Take in charge ticket","2011/03/15 12:18:50.000","2011/03/15 12:18:50.000","Fluxicon Disco","Variant 16","16","Value 8","Value 8","Take in charge ticket"
"Case426","Wait","2011/03/15 13:41:01.000","2011/03/15 13:41:01.000","Fluxicon Disco","Variant 16","16","Value 9","Value 9","Wait"
"Case426","Wait","2011/03/18 14:45:55.000","2011/03/18 14:45:55.000","Fluxicon Disco","Variant 16","16","Value 2","Value 2","Wait"
"Case426","Take in charge ticket","2011/04/14 07:41:49.000","2011/04/14 07:41:49.000","Fluxicon Disco","Variant 16","16","Value 9","Value 9","Take in charge ticket"
"Case426","Resolve ticket","2011/04/14 07:42:53.000","2011/04/14 07:42:53.000","Fluxicon Disco","Variant 16","16","Value 9","Value 9","Resolve ticket"
"Case426","Closed","2011/04/29 07:43:12.000","2011/04/29 07:43:12.000","Fluxicon Disco","Variant 16","16","Value 5","Value 5","Closed"
"Case427","Assign seriousness","2012/08/03 06:17:53.000","2012/08/03 06:17:53.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case427","Take in charge ticket","2012/08/03 06:20:15.000","2012/08/03 06:20:15.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Take in charge ticket"
"Case427","Resolve ticket","2012/08/03 06:20:40.000","2012/08/03 06:20:40.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Resolve ticket"
"Case427","Closed","2012/09/07 06:20:19.000","2012/09/07 06:20:19.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case428","Assign seriousness","2010/10/11 06:49:01.000","2010/10/11 06:49:01.000","Fluxicon Disco","Variant 1","1","Value 7","Value 7","Assign seriousness"
"Case428","Take in charge ticket","2010/10/12 08:58:32.000","2010/10/12 08:58:32.000","Fluxicon Disco","Variant 1","1","Value 12","Value 12","Take in charge ticket"
"Case428","Resolve ticket","2010/10/12 08:59:33.000","2010/10/12 08:59:33.000","Fluxicon Disco","Variant 1","1","Value 12","Value 12","Resolve ticket"
"Case428","Closed","2010/11/11 07:50:23.000","2010/11/11 07:50:23.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case429","Assign seriousness","2011/06/21 14:42:53.000","2011/06/21 14:42:53.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Assign seriousness"
"Case429","Assign seriousness","2011/06/21 14:43:03.000","2011/06/21 14:43:03.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Assign seriousness"
"Case429","Take in charge ticket","2011/06/23 11:57:37.000","2011/06/23 11:57:37.000","Fluxicon Disco","Variant 4","4","Value 13","Value 13","Take in charge ticket"
"Case429","Resolve ticket","2011/06/23 13:56:12.000","2011/06/23 13:56:12.000","Fluxicon Disco","Variant 4","4","Value 13","Value 13","Resolve ticket"
"Case429","Closed","2011/08/04 14:50:29.000","2011/08/04 14:50:29.000","Fluxicon Disco","Variant 4","4","Value 5","Value 5","Closed"
"Case430","Assign seriousness","2010/02/16 10:00:09.000","2010/02/16 10:00:09.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Assign seriousness"
"Case430","Take in charge ticket","2010/02/16 10:00:17.000","2010/02/16 10:00:17.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Take in charge ticket"
"Case430","Resolve ticket","2010/02/16 10:00:27.000","2010/02/16 10:00:27.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case430","Closed","2010/03/19 10:11:08.000","2010/03/19 10:11:08.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case431","Assign seriousness","2012/02/02 14:06:04.000","2012/02/02 14:06:04.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Assign seriousness"
"Case431","Take in charge ticket","2012/02/02 14:06:16.000","2012/02/02 14:06:16.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Take in charge ticket"
"Case431","Resolve ticket","2012/02/03 07:29:08.000","2012/02/03 07:29:08.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case431","Closed","2012/03/08 14:10:30.000","2012/03/08 14:10:30.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case432","Assign seriousness","2011/09/30 07:48:55.000","2011/09/30 07:48:55.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case432","Take in charge ticket","2011/09/30 12:46:24.000","2011/09/30 12:46:24.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Take in charge ticket"
"Case432","Resolve ticket","2011/10/06 06:58:26.000","2011/10/06 06:58:26.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Resolve ticket"
"Case432","Closed","2011/11/02 08:50:20.000","2011/11/02 08:50:20.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case433","Assign seriousness","2013/10/02 10:06:25.000","2013/10/02 10:06:25.000","Fluxicon Disco","Variant 14","14","Value 14","Value 14","Assign seriousness"
"Case433","Take in charge ticket","2013/10/02 11:30:30.000","2013/10/02 11:30:30.000","Fluxicon Disco","Variant 14","14","Value 2","Value 2","Take in charge ticket"
"Case433","Wait","2013/10/11 06:07:41.000","2013/10/11 06:07:41.000","Fluxicon Disco","Variant 14","14","Value 2","Value 2","Wait"
"Case433","Wait","2013/10/11 11:45:57.000","2013/10/11 11:45:57.000","Fluxicon Disco","Variant 14","14","Value 2","Value 2","Wait"
"Case433","Resolve ticket","2013/10/25 07:53:13.000","2013/10/25 07:53:13.000","Fluxicon Disco","Variant 14","14","Value 2","Value 2","Resolve ticket"
"Case433","Closed","2013/11/09 08:53:30.000","2013/11/09 08:53:30.000","Fluxicon Disco","Variant 14","14","Value 3","Value 3","Closed"
"Case434","Assign seriousness","2012/04/18 07:16:22.000","2012/04/18 07:16:22.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case434","Take in charge ticket","2012/04/18 07:25:34.000","2012/04/18 07:25:34.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Take in charge ticket"
"Case434","Resolve ticket","2012/04/23 14:30:23.000","2012/04/23 14:30:23.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case434","Closed","2012/06/10 07:21:03.000","2012/06/10 07:21:03.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case435","Assign seriousness","2012/10/10 11:23:01.000","2012/10/10 11:23:01.000","Fluxicon Disco","Variant 10","10","Value 1","Value 1","Assign seriousness"
"Case435","Take in charge ticket","2012/10/18 09:15:24.000","2012/10/18 09:15:24.000","Fluxicon Disco","Variant 10","10","Value 4","Value 4","Take in charge ticket"
"Case435","Require upgrade","2012/10/26 08:16:08.000","2012/10/26 08:16:08.000","Fluxicon Disco","Variant 10","10","Value 2","Value 2","Require upgrade"
"Case435","Resolve ticket","2012/11/14 08:46:02.000","2012/11/14 08:46:02.000","Fluxicon Disco","Variant 10","10","Value 2","Value 2","Resolve ticket"
"Case435","Closed","2012/11/29 08:46:21.000","2012/11/29 08:46:21.000","Fluxicon Disco","Variant 10","10","Value 3","Value 3","Closed"
"Case436","Assign seriousness","2012/06/19 09:30:43.000","2012/06/19 09:30:43.000","Fluxicon Disco","Variant 6","6","Value 4","Value 4","Assign seriousness"
"Case436","Take in charge ticket","2012/06/19 09:32:43.000","2012/06/19 09:32:43.000","Fluxicon Disco","Variant 6","6","Value 4","Value 4","Take in charge ticket"
"Case436","Resolve ticket","2012/06/19 12:18:30.000","2012/06/19 12:18:30.000","Fluxicon Disco","Variant 6","6","Value 4","Value 4","Resolve ticket"
"Case436","Resolve ticket","2012/06/19 12:18:31.000","2012/06/19 12:18:31.000","Fluxicon Disco","Variant 6","6","Value 4","Value 4","Resolve ticket"
"Case436","Closed","2012/07/20 09:40:50.000","2012/07/20 09:40:50.000","Fluxicon Disco","Variant 6","6","Value 5","Value 5","Closed"
"Case437","Assign seriousness","2011/11/11 09:35:35.000","2011/11/11 09:35:35.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Assign seriousness"
"Case437","Take in charge ticket","2011/11/15 13:54:29.000","2011/11/15 13:54:29.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Take in charge ticket"
"Case437","Wait","2011/11/16 09:55:17.000","2011/11/16 09:55:17.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Wait"
"Case437","Resolve ticket","2011/11/17 10:36:55.000","2011/11/17 10:36:55.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Resolve ticket"
"Case437","Closed","2011/12/22 10:20:36.000","2011/12/22 10:20:36.000","Fluxicon Disco","Variant 2","2","Value 5","Value 5","Closed"
"Case438","Assign seriousness","2013/11/28 15:25:45.000","2013/11/28 15:25:45.000","Fluxicon Disco","Variant 35","35","Value 18","Value 18","Assign seriousness"
"Case438","Take in charge ticket","2013/12/02 07:56:40.000","2013/12/02 07:56:40.000","Fluxicon Disco","Variant 35","35","Value 2","Value 2","Take in charge ticket"
"Case438","Require upgrade","2013/12/16 15:08:31.000","2013/12/16 15:08:31.000","Fluxicon Disco","Variant 35","35","Value 1","Value 1","Require upgrade"
"Case438","Wait","2013/12/17 09:58:27.000","2013/12/17 09:58:27.000","Fluxicon Disco","Variant 35","35","Value 1","Value 1","Wait"
"Case438","Resolve ticket","2013/12/17 13:58:10.000","2013/12/17 13:58:10.000","Fluxicon Disco","Variant 35","35","Value 1","Value 1","Resolve ticket"
"Case438","Closed","2014/01/01 13:58:26.000","2014/01/01 13:58:26.000","Fluxicon Disco","Variant 35","35","Value 3","Value 3","Closed"
"Case439","Assign seriousness","2012/02/01 07:30:27.000","2012/02/01 07:30:27.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case439","Take in charge ticket","2012/02/09 16:05:23.000","2012/02/09 16:05:23.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Take in charge ticket"
"Case439","Resolve ticket","2012/02/15 09:07:50.000","2012/02/15 09:07:50.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case439","Closed","2012/03/16 09:08:15.000","2012/03/16 09:08:15.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case440","Assign seriousness","2011/06/07 11:15:58.000","2011/06/07 11:15:58.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case440","Take in charge ticket","2011/06/07 11:16:33.000","2011/06/07 11:16:33.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case440","Resolve ticket","2011/06/08 07:50:52.000","2011/06/08 07:50:52.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case440","Closed","2011/07/23 11:20:44.000","2011/07/23 11:20:44.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case441","Take in charge ticket","2013/09/20 09:16:35.000","2013/09/20 09:16:35.000","Fluxicon Disco","Variant 52","52","Value 1","Value 1","Take in charge ticket"
"Case441","Resolve ticket","2013/10/08 06:25:49.000","2013/10/08 06:25:49.000","Fluxicon Disco","Variant 52","52","Value 2","Value 2","Resolve ticket"
"Case441","Resolve ticket","2013/10/08 06:25:50.000","2013/10/08 06:25:50.000","Fluxicon Disco","Variant 52","52","Value 2","Value 2","Resolve ticket"
"Case441","Closed","2013/10/23 06:26:08.000","2013/10/23 06:26:08.000","Fluxicon Disco","Variant 52","52","Value 3","Value 3","Closed"
"Case442","Assign seriousness","2011/02/18 10:17:32.000","2011/02/18 10:17:32.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case442","Take in charge ticket","2011/02/18 16:47:39.000","2011/02/18 16:47:39.000","Fluxicon Disco","Variant 1","1","Value 16","Value 16","Take in charge ticket"
"Case442","Resolve ticket","2011/02/18 16:55:57.000","2011/02/18 16:55:57.000","Fluxicon Disco","Variant 1","1","Value 16","Value 16","Resolve ticket"
"Case442","Closed","2011/04/03 09:20:41.000","2011/04/03 09:20:41.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case443","Assign seriousness","2011/03/10 10:06:41.000","2011/03/10 10:06:41.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Assign seriousness"
"Case443","Assign seriousness","2011/03/10 10:08:14.000","2011/03/10 10:08:14.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Assign seriousness"
"Case443","Take in charge ticket","2011/03/10 10:15:07.000","2011/03/10 10:15:07.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Take in charge ticket"
"Case443","Resolve ticket","2011/03/10 13:21:58.000","2011/03/10 13:21:58.000","Fluxicon Disco","Variant 4","4","Value 2","Value 2","Resolve ticket"
"Case443","Closed","2011/04/12 09:12:18.000","2011/04/12 09:12:18.000","Fluxicon Disco","Variant 4","4","Value 5","Value 5","Closed"
"Case444","Assign seriousness","2012/07/19 09:45:18.000","2012/07/19 09:45:18.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Assign seriousness"
